Wall time,Step,Value
1681767821.444876,0,0.4295502007007599
1681767823.2605882,1,0.254585325717926
1681767825.075232,2,0.19664691388607025
1681767826.8671756,3,0.16009140014648438
1681767828.6759386,4,0.1394607424736023
1681767830.4753776,5,0.12580643594264984
1681767832.2696166,6,0.11809500306844711
1681767834.0748434,7,0.11196055263280869
1681767835.8751326,8,0.10694942623376846
1681767837.6716216,9,0.10198374837636948
1681767839.4893384,10,0.09794539958238602
1681767841.3229253,11,0.09621818363666534
1681767843.1772635,12,0.09308704733848572
1681767845.0873947,13,0.09144600480794907
1681767846.9620752,14,0.08951659500598907
1681767848.7927172,15,0.08847744762897491
1681767850.646514,16,0.08684426546096802
1681767852.4967406,17,0.08467041701078415
1681767854.4094934,18,0.08362536877393723
1681767856.2391176,19,0.08387324959039688
1681767858.0830665,20,0.08264689892530441
1681767859.9258773,21,0.08122827857732773
1681767861.7787461,22,0.08103641867637634
1681767863.6464298,23,0.07944098860025406
1681767865.4876368,24,0.07952672243118286
1681767867.326845,25,0.0793410986661911
1681767869.1698823,26,0.07889800518751144
1681767871.0264082,27,0.07781405746936798
1681767872.8791842,28,0.07755226641893387
1681767874.7179012,29,0.07733358442783356
1681767876.5425782,30,0.0765666589140892
1681767878.3448176,31,0.07696008682250977
1681767880.1111765,32,0.07643415033817291
1681767881.9156854,33,0.07629299908876419
1681767883.7439742,34,0.07582955807447433
1681767885.555484,35,0.07602611929178238
1681767887.3747776,36,0.07571576535701752
