Wall time,Step,Value
1681767821.444616,0,0.34101635217666626
1681767823.2603886,1,0.11253637075424194
1681767825.0749502,2,0.06667421013116837
1681767826.86697,3,0.043857503682374954
1681767828.6757503,4,0.03368547186255455
1681767830.4751616,5,0.02776436321437359
1681767832.2694116,6,0.024671701714396477
1681767834.0746102,7,0.022283069789409637
1681767835.8749123,8,0.02053130604326725
1681767837.6713774,9,0.01869165524840355
1681767839.4890985,10,0.01737111620604992
1681767841.3227203,11,0.016797885298728943
1681767843.177061,12,0.01581680215895176
1681767845.0871847,13,0.015304701402783394
1681767846.9618623,14,0.014695921912789345
1681767848.7924814,15,0.014406590722501278
1681767850.6462317,16,0.013978670351207256
1681767852.496481,17,0.013329600915312767
1681767854.409258,18,0.013090328313410282
1681767856.2388923,19,0.013146952725946903
1681767858.082822,20,0.01279091089963913
1681767859.9255478,21,0.01243014819920063
1681767861.77856,22,0.012412723153829575
1681767863.6461592,23,0.01195425447076559
1681767865.487436,24,0.012006983160972595
1681767867.3266492,25,0.012002659030258656
1681767869.169704,26,0.01189695205539465
1681767871.0261657,27,0.01164215337485075
1681767872.8789606,28,0.01162815559655428
1681767874.7176723,29,0.011533906683325768
1681767876.542377,30,0.011381550692021847
1681767878.3446214,31,0.01151327881962061
1681767880.1109734,32,0.011347313411533833
1681767881.91548,33,0.0113552026450634
1681767883.7437322,34,0.011249200440943241
1681767885.5552826,35,0.01133929193019867
1681767887.3745244,36,0.011279516853392124
