Wall time,Step,Value
1681575158.480643,0,1.0290944576263428
1681575172.5899365,1,0.43206313252449036
1681575185.9565475,2,0.17281104624271393
1681575199.3747225,3,0.10032708942890167
1681575212.7547848,4,0.07352202385663986
1681575225.3619933,5,0.059239476919174194
1681575237.1653278,6,0.050287097692489624
1681575252.5709949,7,0.057129111140966415
1681575263.6399589,8,0.04323716461658478
1681575281.4881504,9,0.05962500721216202
1681575291.9377732,10,0.03760623186826706
1681575305.00324,11,0.046419840306043625
1681575317.3976402,12,0.04193520545959473
1681575332.925379,13,0.05016282573342323
1681575346.9040542,14,0.04606642946600914
1681575355.7830606,15,0.029976477846503258
1681575368.2413094,16,0.04021485894918442
1681575382.0676517,17,0.04516441375017166
1681575394.5884786,18,0.0412115752696991
1681575402.004459,19,0.024078113958239555
1681575413.1687815,20,0.035486992448568344
1681575426.658841,21,0.042433761060237885
1681575441.4745007,22,0.04616193845868111
1681575453.3225381,23,0.03832169994711876
1681575465.9194505,24,0.039812587201595306
1681575479.976071,25,0.04398466274142265
1681575496.2691271,26,0.05153510347008705
1681575510.3639874,27,0.044913895428180695
1681575522.981971,28,0.04072532430291176
1681575536.3400302,29,0.04378065839409828
1681575554.8713114,30,0.05752377212047577
1681575568.2064278,31,0.042444176971912384
1681575580.8379152,32,0.039790935814380646
1681575594.2900121,33,0.042462971061468124
1681575605.3594227,34,0.03463710471987724
1681575620.0338366,35,0.04668201878666878
1681575632.4914832,36,0.04071139171719551
1681575643.3768015,37,0.03536822646856308
