Wall time,Step,Value
1681758116.18407,0,0.6222012639045715
1681758129.0479007,1,0.35189786553382874
1681758143.2002623,2,0.19572566449642181
1681758156.8044245,3,0.1364169865846634
1681758171.646591,4,0.12302812188863754
1681758185.2401836,5,0.10104799270629883
1681758195.1260774,6,0.08379370719194412
1681758210.2654018,7,0.09505102783441544
1681758221.6137228,8,0.08038603514432907
1681758237.8716915,9,0.09280052781105042
1681758247.2678576,10,0.07513086497783661
1681758258.7652707,11,0.07451038062572479
1681758273.8268573,12,0.0865059569478035
1681758288.941073,13,0.08808180689811707
1681758299.6868985,14,0.06871070712804794
1681758313.367232,15,0.08056320250034332
1681758326.1756775,16,0.0769374892115593
1681758337.73566,17,0.07076982408761978
1681758348.3838475,18,0.06755521893501282
1681758362.7413075,19,0.08032052218914032
1681758377.627591,20,0.08301474153995514
1681758390.5887728,21,0.0744323655962944
1681758403.3491952,22,0.07641924172639847
1681758420.474241,23,0.09191479533910751
1681758433.9477594,24,0.07781914621591568
1681758449.5323067,25,0.0847034603357315
1681758463.9977722,26,0.08053946495056152
1681758477.4620628,27,0.07878131419420242
1681758493.2757392,28,0.08380279690027237
1681758506.7814696,29,0.07870865613222122
1681758522.5513947,30,0.08331429213285446
1681758534.5065916,31,0.07248219102621078
1681758553.0561736,32,0.09667782485485077
1681758569.3714492,33,0.08647078275680542
1681758577.9860966,34,0.0627375990152359
