Wall time,Step,Value
1681773084.608451,0,0.45050129294395447
1681773100.2073417,1,0.239308699965477
1681773114.913304,2,0.1244702935218811
1681773126.624293,3,0.0727815181016922
1681773136.054887,4,0.05245085805654526
1681773147.01058,5,0.04509706422686577
1681773160.7049143,6,0.04165450483560562
1681773172.535345,7,0.037917252629995346
1681773189.7845912,8,0.0376388244330883
1681773204.4404116,9,0.03542715311050415
1681773218.30701,10,0.033497922122478485
1681773233.6949909,11,0.03316136822104454
1681773245.380405,12,0.03133001551032066
1681773257.8187933,13,0.030744774267077446
1681773270.9676123,14,0.030198441818356514
1681773282.6293266,15,0.02935395948588848
1681773297.2768018,16,0.030399883165955544
1681773308.288373,17,0.028469733893871307
1681773322.9922283,18,0.029446613043546677
1681773335.430572,19,0.028437674045562744
1681773350.7852128,20,0.029960449784994125
1681773363.092445,21,0.027868375182151794
1681773375.366295,22,0.027456747367978096
1681773384.9448817,23,0.026151953265070915
1681773397.9603124,24,0.027530448511242867
1681773412.5503032,25,0.029040422290563583
1681773426.9929807,26,0.02835012972354889
1681773441.0495462,27,0.02770426869392395
1681773452.4996798,28,0.026233311742544174
1681773467.0422797,29,0.0281927902251482
1681773478.9174976,30,0.02633299119770527
1681773493.9477499,31,0.028029099106788635
1681773508.4950492,32,0.028372377157211304
1681773520.8059611,33,0.02669902890920639
1681773534.5031521,34,0.027329755946993828
1681773543.9374971,35,0.024711083620786667
1681773556.173389,36,0.02709342911839485
1681773570.6526496,37,0.028561199083924294
