Wall time,Step,Value
1681747422.1249163,0,0.459102600812912
1681747431.57368,1,0.259665310382843
1681747442.4142413,2,0.2094423770904541
1681747451.9449515,3,0.12062554061412811
1681747461.380637,4,0.07102251052856445
1681747470.8499703,5,0.05070238932967186
1681747480.3287685,6,0.032316904515028
1681747489.7753084,7,0.02255701646208763
1681747499.2610683,8,0.016800248995423317
1681747508.7720659,9,0.01482792105525732
1681747518.3295624,10,0.011770576238632202
1681747527.9016032,11,0.011122018098831177
1681747537.359166,12,0.008418983779847622
1681747546.8312535,13,0.008831938728690147
1681747556.3152323,14,0.007483781781047583
1681747565.772608,15,0.0059804427437484264
1681747575.2288258,16,0.005841081961989403
1681747584.6996036,17,0.006435726769268513
1681747594.2764232,18,0.005858684424310923
1681747603.7582307,19,0.005601630080491304
1681747613.242877,20,0.00562915438786149
1681747622.766231,21,0.0056304167956113815
1681747632.2619452,22,0.005607086233794689
1681747641.7303066,23,0.005347111262381077
1681747651.2328284,24,0.005188413430005312
1681747660.7458313,25,0.005758702289313078
1681747670.258387,26,0.005228203255683184
1681747679.7626371,27,0.005242209881544113
1681747689.292065,28,0.005229606293141842
1681747698.7756493,29,0.005151538643985987
