Wall time,Step,Value
1681747422.1291711,0,0.4069485366344452
1681747431.5744734,1,0.297086238861084
1681747442.4144547,2,0.2816999852657318
1681747451.945172,3,0.2319830060005188
1681747461.3808565,4,0.17823576927185059
1681747470.85017,5,0.15001535415649414
1681747480.328964,6,0.12376480549573898
1681747489.7755387,7,0.10497476905584335
1681747499.2613437,8,0.09126785397529602
1681747508.7722852,9,0.08735354989767075
1681747518.3297622,10,0.07609868794679642
1681747527.9018211,11,0.0749293640255928
1681747537.359393,12,0.06684619188308716
1681747546.8314676,13,0.0690571740269661
1681747556.3154583,14,0.06378183513879776
1681747565.772824,15,0.05725717172026634
1681747575.2290325,16,0.0570843480527401
1681747584.6998222,17,0.06023469567298889
1681747594.2766256,18,0.05738938972353935
1681747603.7584512,19,0.055919673293828964
1681747613.2430887,20,0.056021105498075485
1681747622.7664597,21,0.056008804589509964
1681747632.2621677,22,0.055999837815761566
1681747641.7305124,23,0.05448540672659874
1681747651.2329438,24,0.05351903662085533
1681747660.7460349,25,0.056130461394786835
1681747670.2585905,26,0.053339093923568726
1681747679.7628562,27,0.05319872125983238
1681747689.292272,28,0.05302010849118233
1681747698.775862,29,0.052574578672647476
